Invoice ID,Customer ID,Customer,Segment,Invoice Date,Due Date,Invoice Amount,Paid Amount,Payment Date,Collector,Promise Date,Promise Amount,Dispute,Risk Tier
INV-0037,CUS-037,Customer 37,Retail,2026-05-29,2026-06-28,9201.25,9201.25,2026-06-30,Maya,,0,No,Low
INV-0038,CUS-038,Customer 38,Commercial,2026-03-21,2026-04-05,5067.26,0,,Karim,2026-07-10,3085.64,No,Medium
INV-0039,CUS-039,Customer 39,Hospitality,2026-03-13,2026-03-28,13466.86,13466.86,2026-04-19,Rita,,0,No,Medium
INV-0040,CUS-040,Customer 40,Public Sector,2026-01-18,2026-03-04,2108.31,0,,Nabil,,0,Yes,High
INV-0041,CUS-041,Customer 41,Retail,2026-02-08,2026-02-23,2924.81,2924.81,2026-03-20,Maya,,0,No,Low
INV-0042,CUS-042,Customer 42,Commercial,2026-05-16,2026-07-15,2187.86,2187.86,2026-08-08,Karim,,0,No,Medium
INV-0043,CUS-043,Customer 43,Hospitality,2026-02-25,2026-04-11,5573.58,5573.58,2026-05-02,Rita,,0,No,Medium
INV-0044,CUS-044,Customer 44,Public Sector,2026-03-31,2026-04-15,12673.82,6022.45,2026-04-18,Nabil,2026-07-17,3882.95,No,High
INV-0045,CUS-045,Customer 45,Retail,2026-03-13,2026-04-27,2817.15,2817.15,2026-04-28,Maya,,0,No,Low
INV-0046,CUS-046,Customer 46,Commercial,2026-05-07,2026-06-06,10213.18,10213.18,2026-06-07,Karim,,0,No,Medium
INV-0047,CUS-047,Customer 47,Hospitality,2026-02-17,2026-04-18,5998.54,5998.54,2026-04-23,Rita,,0,No,Medium
INV-0048,CUS-048,Customer 48,Public Sector,2026-03-29,2026-04-13,14073.88,14073.88,2026-04-12,Nabil,,0,No,High
INV-0049,CUS-001,Customer 01,Retail,2026-04-01,2026-05-16,741.88,741.88,2026-05-18,Maya,,0,No,Low
INV-0050,CUS-002,Customer 02,Commercial,2026-05-09,2026-06-23,10088.24,7394.26,2026-07-12,Karim,2026-07-14,1949.72,No,Medium
INV-0051,CUS-003,Customer 03,Hospitality,2026-04-13,2026-04-28,903.04,290.97,2026-05-09,Rita,,0,No,Medium
INV-0052,CUS-004,Customer 04,Public Sector,2026-04-13,2026-05-13,13135.58,0,,Nabil,,0,No,High
INV-0053,CUS-005,Customer 05,Retail,2026-05-08,2026-06-07,11552.66,0,,Maya,,0,No,Low
INV-0054,CUS-006,Customer 06,Commercial,2026-03-12,2026-03-27,1086.87,1086.87,2026-03-29,Karim,,0,No,Medium
INV-0055,CUS-007,Customer 07,Hospitality,2026-02-02,2026-02-17,992.44,992.44,2026-03-08,Rita,,0,No,Medium
INV-0056,CUS-008,Customer 08,Public Sector,2026-02-20,2026-03-22,11272.78,11272.78,2026-04-07,Nabil,,0,No,High
INV-0057,CUS-009,Customer 09,Retail,2026-05-14,2026-06-13,9707.64,9707.64,2026-06-20,Maya,,0,No,Low
INV-0058,CUS-010,Customer 10,Commercial,2026-03-13,2026-04-27,5945.83,5945.83,2026-04-19,Karim,,0,No,Medium
INV-0059,CUS-011,Customer 11,Hospitality,2026-04-01,2026-05-01,8519.65,8519.65,2026-04-27,Rita,,0,No,Medium
INV-0060,CUS-012,Customer 12,Public Sector,2026-05-22,2026-07-06,4662.52,4662.52,2026-07-20,Nabil,,0,No,High
INV-0061,CUS-013,Customer 13,Retail,2026-05-21,2026-06-05,7445.43,7445.43,2026-06-26,Maya,,0,No,Low
INV-0062,CUS-014,Customer 14,Commercial,2026-03-13,2026-04-12,16882.07,7547.91,2026-04-29,Karim,2026-07-03,8318.08,No,Medium
INV-0063,CUS-015,Customer 15,Hospitality,2026-03-31,2026-04-15,15183.35,15183.35,2026-05-09,Rita,,0,No,Medium
INV-0064,CUS-016,Customer 16,Public Sector,2026-06-02,2026-07-02,16131.99,16131.99,2026-07-27,Nabil,,0,No,High
INV-0065,CUS-017,Customer 17,Retail,2026-03-25,2026-04-09,2427.56,2427.56,2026-04-09,Maya,,0,No,Low
INV-0066,CUS-018,Customer 18,Commercial,2026-02-09,2026-04-10,5494.73,5494.73,2026-04-22,Karim,,0,No,Medium
INV-0067,CUS-019,Customer 19,Hospitality,2026-01-16,2026-03-02,12230.06,8089.34,2026-03-23,Rita,,0,No,Medium
INV-0068,CUS-020,Customer 20,Public Sector,2026-05-01,2026-05-31,16340.37,8051.94,2026-06-11,Nabil,,0,No,High
INV-0069,CUS-021,Customer 21,Retail,2026-03-08,2026-05-07,7556.08,7556.08,2026-05-04,Maya,,0,No,Low
INV-0070,CUS-022,Customer 22,Commercial,2026-04-05,2026-05-20,768.93,768.93,2026-05-23,Karim,,0,No,Medium
INV-0071,CUS-023,Customer 23,Hospitality,2026-02-26,2026-03-28,10507.33,3384.11,2026-04-13,Rita,2026-07-10,6157.33,No,Medium
INV-0072,CUS-024,Customer 24,Public Sector,2026-01-31,2026-03-02,7012.99,7012.99,2026-03-22,Nabil,,0,No,High
INV-0073,CUS-025,Customer 25,Retail,2026-04-11,2026-04-26,14495.9,0,,Maya,2026-07-25,14163.63,No,Low
INV-0074,CUS-026,Customer 26,Commercial,2026-02-03,2026-03-20,13507.73,13507.73,2026-03-21,Karim,,0,No,Medium
INV-0075,CUS-027,Customer 27,Hospitality,2026-02-03,2026-03-20,14686.22,0,,Rita,,0,No,Medium
INV-0076,CUS-028,Customer 28,Public Sector,2026-05-16,2026-06-15,14978.47,0,,Nabil,,0,No,High
INV-0077,CUS-029,Customer 29,Retail,2026-04-14,2026-05-29,6465.63,0,,Maya,2026-07-14,4848.04,No,Low
INV-0078,CUS-030,Customer 30,Commercial,2026-04-29,2026-06-28,14415.55,0,,Karim,2026-07-03,12240.18,No,Medium
INV-0079,CUS-031,Customer 31,Hospitality,2026-01-08,2026-02-07,14525.61,14525.61,2026-02-20,Rita,,0,No,Medium
INV-0080,CUS-032,Customer 32,Public Sector,2026-02-24,2026-03-11,5453.97,0,,Nabil,2026-07-18,4876.76,No,High
INV-0081,CUS-033,Customer 33,Retail,2026-06-15,2026-06-30,14216.83,14216.83,2026-06-29,Maya,,0,No,Low
INV-0082,CUS-034,Customer 34,Commercial,2026-04-13,2026-05-28,8364.64,8364.64,2026-05-21,Karim,,0,No,Medium
INV-0083,CUS-035,Customer 35,Hospitality,2026-01-01,2026-01-31,6409.13,6409.13,2026-01-30,Rita,,0,No,Medium
INV-0084,CUS-036,Customer 36,Public Sector,2026-01-21,2026-02-20,9849.96,0,,Nabil,,0,No,High
INV-0085,CUS-037,Customer 37,Retail,2026-04-08,2026-05-23,13883.54,0,,Maya,,0,No,Low
INV-0086,CUS-038,Customer 38,Commercial,2026-02-09,2026-03-11,9566.22,9566.22,2026-03-17,Karim,,0,No,Medium
INV-0087,CUS-039,Customer 39,Hospitality,2026-01-26,2026-03-27,1961.11,1961.11,2026-04-20,Rita,,0,No,Medium
INV-0088,CUS-040,Customer 40,Public Sector,2026-04-16,2026-06-15,15304.77,15304.77,2026-07-05,Nabil,,0,No,High
INV-0089,CUS-041,Customer 41,Retail,2026-05-15,2026-07-14,887.55,887.55,2026-07-22,Maya,,0,No,Low
INV-0090,CUS-042,Customer 42,Commercial,2026-05-25,2026-07-09,15703.75,15703.75,2026-07-26,Karim,,0,No,Medium
INV-0091,CUS-043,Customer 43,Hospitality,2026-04-14,2026-05-14,4640.15,4640.15,2026-05-23,Rita,,0,No,Medium
INV-0092,CUS-044,Customer 44,Public Sector,2026-02-04,2026-04-05,10591.26,10591.26,2026-04-27,Nabil,,0,No,High
INV-0093,CUS-045,Customer 45,Retail,2026-02-25,2026-03-12,4797.76,0,,Maya,,0,No,Low
INV-0094,CUS-046,Customer 46,Commercial,2026-02-10,2026-04-11,2493,0,,Karim,,0,No,Medium
INV-0095,CUS-047,Customer 47,Hospitality,2026-05-03,2026-07-02,9820.19,0,,Rita,,0,No,Medium
INV-0096,CUS-048,Customer 48,Public Sector,2026-01-03,2026-02-17,14448.38,14448.38,2026-03-06,Nabil,,0,No,High
INV-0097,CUS-001,Customer 01,Retail,2026-05-15,2026-06-14,9640.56,9640.56,2026-06-18,Maya,,0,No,Low
INV-0098,CUS-002,Customer 02,Commercial,2026-05-27,2026-07-26,1259.18,1259.18,2026-07-26,Karim,,0,No,Medium
INV-0099,CUS-003,Customer 03,Hospitality,2026-04-21,2026-05-06,1437.16,1437.16,2026-05-28,Rita,,0,No,Medium
INV-0100,CUS-004,Customer 04,Public Sector,2026-02-10,2026-03-27,8164.62,8164.62,2026-03-28,Nabil,,0,No,High
INV-0101,CUS-005,Customer 05,Retail,2026-01-08,2026-02-07,11960.7,11960.7,2026-02-18,Maya,,0,No,Low
INV-0102,CUS-006,Customer 06,Commercial,2026-05-25,2026-06-09,11772.31,0,,Karim,2026-07-03,10619.76,No,Medium
INV-0103,CUS-007,Customer 07,Hospitality,2026-02-10,2026-02-25,15809.38,15809.38,2026-02-17,Rita,,0,No,Medium
INV-0104,CUS-008,Customer 08,Public Sector,2026-02-16,2026-03-03,2902.24,2902.24,2026-03-03,Nabil,,0,No,High
INV-0105,CUS-009,Customer 09,Retail,2026-06-13,2026-07-13,5928.52,5928.52,2026-08-06,Maya,,0,No,Low
INV-0106,CUS-010,Customer 10,Commercial,2026-03-20,2026-05-04,15206.2,0,,Karim,,0,No,Medium
INV-0107,CUS-011,Customer 11,Hospitality,2026-02-26,2026-03-13,2730.01,2730.01,2026-03-24,Rita,,0,No,Medium
INV-0108,CUS-012,Customer 12,Public Sector,2026-03-14,2026-04-28,4960.86,3650.45,2026-05-03,Nabil,2026-07-23,946.91,No,High
INV-0109,CUS-013,Customer 13,Retail,2026-05-12,2026-06-11,7511.59,7511.59,2026-07-04,Maya,,0,No,Low
INV-0110,CUS-014,Customer 14,Commercial,2026-01-24,2026-03-25,9136.12,9136.12,2026-03-29,Karim,,0,No,Medium
INV-0111,CUS-015,Customer 15,Hospitality,2026-01-10,2026-02-09,13684.54,0,,Rita,,0,No,Medium
INV-0112,CUS-016,Customer 16,Public Sector,2026-05-01,2026-06-30,6557.33,6557.33,2026-07-23,Nabil,,0,No,High
INV-0113,CUS-017,Customer 17,Retail,2026-04-03,2026-05-03,9174.62,9174.62,2026-05-18,Maya,,0,No,Low
INV-0114,CUS-018,Customer 18,Commercial,2026-02-20,2026-04-06,9329.26,9329.26,2026-04-24,Karim,,0,No,Medium
INV-0115,CUS-019,Customer 19,Hospitality,2026-04-04,2026-04-19,16002.67,16002.67,2026-05-11,Rita,,0,No,Medium
INV-0116,CUS-020,Customer 20,Public Sector,2026-02-24,2026-03-26,11619.08,0,,Nabil,,0,No,High
INV-0117,CUS-021,Customer 21,Retail,2026-05-08,2026-06-07,7923.38,7923.38,2026-06-15,Maya,,0,No,Low
INV-0118,CUS-022,Customer 22,Commercial,2026-02-04,2026-03-06,4576.01,0,,Karim,2026-07-18,2930.32,No,Medium
INV-0119,CUS-023,Customer 23,Hospitality,2026-02-20,2026-04-06,16536.69,16536.69,2026-03-31,Rita,,0,No,Medium
INV-0120,CUS-024,Customer 24,Public Sector,2026-02-16,2026-03-18,10299.99,10299.99,2026-03-29,Nabil,,0,No,High
INV-0121,CUS-025,Customer 25,Retail,2026-03-09,2026-04-08,2202.58,0,,Maya,,0,No,Low
INV-0122,CUS-026,Customer 26,Commercial,2026-05-09,2026-05-24,14705.46,14705.46,2026-05-21,Karim,,0,No,Medium
INV-0123,CUS-027,Customer 27,Hospitality,2026-01-30,2026-03-01,10063.42,10063.42,2026-02-26,Rita,,0,No,Medium
INV-0124,CUS-028,Customer 28,Public Sector,2026-06-15,2026-07-15,2193.33,1421.24,2026-08-02,Nabil,,0,No,High
INV-0125,CUS-029,Customer 29,Retail,2026-02-12,2026-03-14,2189.03,0,,Maya,,0,No,Low
INV-0126,CUS-030,Customer 30,Commercial,2026-05-21,2026-06-20,5659.59,5659.59,2026-07-07,Karim,,0,No,Medium
INV-0127,CUS-031,Customer 31,Hospitality,2026-05-23,2026-06-07,13528.23,13528.23,2026-06-28,Rita,,0,No,Medium
INV-0128,CUS-032,Customer 32,Public Sector,2026-05-03,2026-06-17,10311.5,10311.5,2026-06-16,Nabil,,0,No,High
INV-0129,CUS-033,Customer 33,Retail,2026-01-16,2026-03-17,5270.68,5270.68,2026-04-11,Maya,,0,No,Low
INV-0130,CUS-034,Customer 34,Commercial,2026-01-15,2026-02-14,4518.59,0,,Karim,,0,No,Medium
INV-0131,CUS-035,Customer 35,Hospitality,2026-03-15,2026-03-30,3006.24,2224.76,2026-04-22,Rita,2026-07-10,397.87,No,Medium
INV-0132,CUS-036,Customer 36,Public Sector,2026-01-08,2026-02-07,13253.15,13253.15,2026-02-22,Nabil,,0,No,High
INV-0133,CUS-037,Customer 37,Retail,2026-01-29,2026-03-15,4949.04,4949.04,2026-03-18,Maya,,0,No,Low
INV-0134,CUS-038,Customer 38,Commercial,2026-06-01,2026-07-16,10709.92,0,,Karim,,0,No,Medium
INV-0135,CUS-039,Customer 39,Hospitality,2026-02-07,2026-03-09,13951.48,10060.91,2026-04-04,Rita,2026-07-22,2888.49,No,Medium
INV-0136,CUS-040,Customer 40,Public Sector,2026-04-30,2026-06-14,7405.61,0,,Nabil,,0,No,High
INV-0137,CUS-041,Customer 41,Retail,2026-06-13,2026-07-28,7099,7099,2026-07-31,Maya,,0,No,Low
INV-0138,CUS-042,Customer 42,Commercial,2026-01-17,2026-02-01,2907.37,1144.54,2026-02-07,Karim,,0,Yes,Medium
INV-0139,CUS-043,Customer 43,Hospitality,2026-01-29,2026-02-13,4794.96,4794.96,2026-03-05,Rita,,0,No,Medium
INV-0140,CUS-044,Customer 44,Public Sector,2026-01-24,2026-02-23,4507.21,4507.21,2026-02-24,Nabil,,0,No,High
INV-0141,CUS-045,Customer 45,Retail,2026-05-07,2026-06-21,12092.72,0,,Maya,,0,No,Low
INV-0142,CUS-046,Customer 46,Commercial,2026-05-24,2026-06-08,16966.07,16966.07,2026-07-02,Karim,,0,No,Medium
INV-0143,CUS-047,Customer 47,Hospitality,2026-02-09,2026-04-10,16473.55,16473.55,2026-04-21,Rita,,0,No,Medium
INV-0144,CUS-048,Customer 48,Public Sector,2026-03-23,2026-04-22,12512.96,0,,Nabil,,0,No,High
INV-0145,CUS-001,Customer 01,Retail,2026-02-28,2026-04-14,12688.93,7407.43,2026-05-01,Maya,,0,No,Low
INV-0146,CUS-002,Customer 02,Commercial,2026-06-02,2026-08-01,6973.14,6973.14,2026-07-26,Karim,,0,No,Medium
INV-0147,CUS-003,Customer 03,Hospitality,2026-05-23,2026-06-22,15184.26,15184.26,2026-07-12,Rita,,0,No,Medium
INV-0148,CUS-004,Customer 04,Public Sector,2026-01-13,2026-03-14,7184.99,7184.99,2026-04-04,Nabil,,0,No,High
INV-0149,CUS-005,Customer 05,Retail,2026-01-09,2026-01-24,8867.14,8867.14,2026-02-01,Maya,,0,No,Low
INV-0150,CUS-006,Customer 06,Commercial,2026-01-25,2026-02-24,5158.03,5158.03,2026-02-21,Karim,,0,No,Medium
INV-0151,CUS-007,Customer 07,Hospitality,2026-03-23,2026-05-22,5084.42,5084.42,2026-05-14,Rita,,0,No,Medium
INV-0152,CUS-008,Customer 08,Public Sector,2026-05-18,2026-06-02,10109.8,10109.8,2026-06-01,Nabil,,0,No,High
INV-0153,CUS-009,Customer 09,Retail,2026-02-12,2026-04-13,2351.61,2351.61,2026-05-07,Maya,,0,No,Low
INV-0154,CUS-010,Customer 10,Commercial,2026-05-25,2026-06-24,9262.85,9262.85,2026-07-05,Karim,,0,No,Medium
INV-0155,CUS-011,Customer 11,Hospitality,2026-01-03,2026-02-02,6102.25,6102.25,2026-02-01,Rita,,0,No,Medium
INV-0156,CUS-012,Customer 12,Public Sector,2026-04-16,2026-05-16,13902.47,13902.47,2026-05-09,Nabil,,0,No,High
INV-0157,CUS-013,Customer 13,Retail,2026-05-04,2026-07-03,1521.07,0,,Maya,2026-07-09,1450.19,No,Low
INV-0158,CUS-014,Customer 14,Commercial,2026-04-01,2026-05-01,5531.13,0,,Karim,2026-07-19,4369.69,No,Medium
INV-0159,CUS-015,Customer 15,Hospitality,2026-04-22,2026-05-22,5791.78,5791.78,2026-05-27,Rita,,0,No,Medium
INV-0160,CUS-016,Customer 16,Public Sector,2026-04-17,2026-06-16,7855.25,7855.25,2026-06-27,Nabil,,0,No,High
INV-0161,CUS-017,Customer 17,Retail,2026-04-04,2026-05-19,13860.26,0,,Maya,2026-07-08,9458.84,No,Low
INV-0162,CUS-018,Customer 18,Commercial,2026-05-02,2026-06-16,2710.51,2710.51,2026-06-30,Karim,,0,No,Medium
INV-0163,CUS-019,Customer 19,Hospitality,2026-01-31,2026-03-02,9999.1,2794.01,2026-03-16,Rita,2026-07-19,6734.33,Yes,Medium
INV-0164,CUS-020,Customer 20,Public Sector,2026-05-01,2026-05-16,13639.86,13639.86,2026-05-19,Nabil,,0,No,High
INV-0165,CUS-021,Customer 21,Retail,2026-01-14,2026-02-28,6145.85,6145.85,2026-02-25,Maya,,0,No,Low
INV-0166,CUS-022,Customer 22,Commercial,2026-02-20,2026-04-21,1553.55,1553.55,2026-05-06,Karim,,0,No,Medium
INV-0167,CUS-023,Customer 23,Hospitality,2026-04-16,2026-05-01,15981.11,15981.11,2026-04-24,Rita,,0,No,Medium
INV-0168,CUS-024,Customer 24,Public Sector,2026-05-19,2026-06-18,13831.89,13831.89,2026-07-13,Nabil,,0,No,High
INV-0169,CUS-025,Customer 25,Retail,2026-03-20,2026-04-19,11344.92,11344.92,2026-05-04,Maya,,0,No,Low
INV-0170,CUS-026,Customer 26,Commercial,2026-05-06,2026-05-21,7935.52,7935.52,2026-05-13,Karim,,0,No,Medium
INV-0171,CUS-027,Customer 27,Hospitality,2026-05-21,2026-07-20,5603.52,5603.52,2026-07-23,Rita,,0,No,Medium
INV-0172,CUS-028,Customer 28,Public Sector,2026-02-26,2026-03-13,7200.54,2464.87,2026-04-04,Nabil,,0,Yes,High
INV-0173,CUS-029,Customer 29,Retail,2026-03-14,2026-04-13,3812,0,,Maya,2026-07-24,3253.72,No,Low
INV-0174,CUS-030,Customer 30,Commercial,2026-01-31,2026-02-15,5840.35,0,,Karim,,0,No,Medium
INV-0175,CUS-031,Customer 31,Hospitality,2026-04-25,2026-05-25,12344.87,12344.87,2026-05-18,Rita,,0,No,Medium
INV-0176,CUS-032,Customer 32,Public Sector,2026-03-16,2026-04-15,8145.31,8145.31,2026-04-26,Nabil,,0,No,High
INV-0177,CUS-033,Customer 33,Retail,2026-06-08,2026-07-08,3428.35,3428.35,2026-07-29,Maya,,0,No,Low
INV-0178,CUS-034,Customer 34,Commercial,2026-02-05,2026-03-22,15940.76,15940.76,2026-04-14,Karim,,0,No,Medium
INV-0179,CUS-035,Customer 35,Hospitality,2026-06-02,2026-07-02,1615.62,1615.62,2026-07-20,Rita,,0,No,Medium
INV-0180,CUS-036,Customer 36,Public Sector,2026-04-23,2026-06-07,12668.62,12668.62,2026-06-07,Nabil,,0,No,High
INV-0181,CUS-037,Customer 37,Retail,2026-02-17,2026-04-18,14682.38,0,,Maya,,0,No,Low
INV-0182,CUS-038,Customer 38,Commercial,2026-06-04,2026-07-19,1412.74,812.81,2026-07-20,Karim,,0,Yes,Medium
INV-0183,CUS-039,Customer 39,Hospitality,2026-05-20,2026-06-04,16438.82,16438.82,2026-05-31,Rita,,0,No,Medium
INV-0184,CUS-040,Customer 40,Public Sector,2026-04-14,2026-06-13,4031.01,4031.01,2026-06-26,Nabil,,0,No,High
INV-0185,CUS-041,Customer 41,Retail,2026-05-23,2026-06-22,16119.23,0,,Maya,,0,No,Low
INV-0186,CUS-042,Customer 42,Commercial,2026-03-23,2026-05-07,6556.21,6556.21,2026-05-13,Karim,,0,No,Medium
INV-0187,CUS-043,Customer 43,Hospitality,2026-01-30,2026-03-01,8305.92,0,,Rita,,0,No,Medium
INV-0188,CUS-044,Customer 44,Public Sector,2026-06-15,2026-07-15,2227.73,0,,Nabil,,0,No,High
INV-0189,CUS-045,Customer 45,Retail,2026-06-03,2026-08-02,16584.67,0,,Maya,,0,No,Low
INV-0190,CUS-046,Customer 46,Commercial,2026-02-18,2026-03-20,5636.55,0,,Karim,2026-07-22,3903.2,No,Medium
INV-0191,CUS-047,Customer 47,Hospitality,2026-06-10,2026-07-10,7750.26,0,,Rita,2026-07-18,5904.83,No,Medium
INV-0192,CUS-048,Customer 48,Public Sector,2026-05-05,2026-06-04,3063,0,,Nabil,,0,No,High
INV-0193,CUS-001,Customer 01,Retail,2026-03-23,2026-04-22,15222.66,15222.66,2026-04-21,Maya,,0,No,Low
INV-0194,CUS-002,Customer 02,Commercial,2026-05-31,2026-06-30,16325.14,16325.14,2026-07-08,Karim,,0,No,Medium
INV-0195,CUS-003,Customer 03,Hospitality,2026-04-25,2026-06-24,2661.03,2661.03,2026-07-07,Rita,,0,No,Medium
INV-0196,CUS-004,Customer 04,Public Sector,2026-02-21,2026-03-08,1745.81,0,,Nabil,,0,No,High
INV-0197,CUS-005,Customer 05,Retail,2026-01-09,2026-02-23,7447.67,7447.67,2026-03-09,Maya,,0,No,Low
INV-0198,CUS-006,Customer 06,Commercial,2026-05-21,2026-06-20,5818.04,5818.04,2026-07-06,Karim,,0,No,Medium
INV-0199,CUS-007,Customer 07,Hospitality,2026-05-11,2026-06-10,12755.6,12755.6,2026-06-28,Rita,,0,No,Medium
INV-0200,CUS-008,Customer 08,Public Sector,2026-05-30,2026-06-14,1446.62,0,,Nabil,,0,No,High
INV-0201,CUS-009,Customer 09,Retail,2026-03-14,2026-04-13,8721.86,8721.86,2026-04-15,Maya,,0,No,Low
INV-0202,CUS-010,Customer 10,Commercial,2026-05-02,2026-07-01,12851.24,0,,Karim,2026-07-11,9423.53,Yes,Medium
INV-0203,CUS-011,Customer 11,Hospitality,2026-04-01,2026-05-16,16127.1,16127.1,2026-05-26,Rita,,0,No,Medium
INV-0204,CUS-012,Customer 12,Public Sector,2026-01-29,2026-03-30,7279.76,0,,Nabil,2026-07-20,5188.2,Yes,High
INV-0205,CUS-013,Customer 13,Retail,2026-01-27,2026-03-28,10507.42,10507.42,2026-03-30,Maya,,0,No,Low
INV-0206,CUS-014,Customer 14,Commercial,2026-04-06,2026-06-05,6223.7,4659.45,2026-06-30,Karim,2026-07-13,1246.74,No,Medium
INV-0207,CUS-015,Customer 15,Hospitality,2026-05-07,2026-05-22,1665.5,0,,Rita,2026-07-12,1647.5,No,Medium
INV-0208,CUS-016,Customer 16,Public Sector,2026-03-10,2026-04-24,4571.32,2687.77,2026-05-07,Nabil,,0,No,High
INV-0209,CUS-017,Customer 17,Retail,2026-02-06,2026-04-07,7363.35,7363.35,2026-04-13,Maya,,0,No,Low
INV-0210,CUS-018,Customer 18,Commercial,2026-03-06,2026-04-20,818.61,818.61,2026-05-09,Karim,,0,No,Medium
